it’s,3
not,4
mine,1
this,3
is,3
ishas,1
fault180105249363591170i,1
eat,2
after,1
soft,1
desnolmaook,1
thanks,3
💯where,1
do,6
you,7
sign,1
up,1
for,4
cocurricularskate,1
should,3
join,2
tonightmight,1
have,3
to,9
dm,1
or,1
text,1
me,2
because,2
i,13
don’t,1
get,1
notifs,1
thisyesss,1
will,1
if,4
am,3
busy,1
👍a,1
small,1
sacrifice,1
improve,1
my,5
baja,1
pointsglad,1
be,3
a,7
part,1
of,5
it,4
nownicelily,1
jiangyeah,1
damnbruh,1
the,30
only,3
sibb,2
email,1
got,1
was,5
big,1
form,1
seth,1
sent,1
out,1
last,1
semesternooi,1
guess,1
scammed,1
myselfi,1
thought,1
didy’all,1
are,3
getting,2
sibbshellomaxi,1
skirtleave,1
bleach,1
in,13
hair,1
and,5
alleat,1
iti’m,1
scaredwhy,1
one,3
second,1
row,1
nordlmaojoseph’syou,1
go,1
dumpling,1
making,2
thingy,1
afternoonah,1
thank,1
oliver,1
💯my,1
graph,1
looks,1
nothing,1
like,1
figure,1
2,2
lab,2
instructions,1
so,4
im,1
concernedis,1
vout,1
that,2
equation,1
ch2,1
measurementsis,1
transfer,1
function,1
just,2
listed,1
sensor,1
datasheeti,1
forgot,1
textbook,1
existed,1
jo,2
💯also,1
believe,1
its,1
voltsdoes,1
anyone,2
know,4
what,1
formula,1
characteristic,1
frequency,1
isi,1
said,2
potentiometer,1
at,3
5,1
ohms,2
beginning,1
we,3
turned,1
vmeas,1
0,1
on,5
oscope,1
measured,1
voltage,1
25v,1
each,2
side,1
wheatstone,1
bridge,1
thus,1
implying,1
poteniometer,1
115,1
strain,1
gauges,1
resistance,1
which,3
packet,1
120,1
ohmsyeah,1
videook,1
💯if,1
has,1
isim,1
tomorrow,1
onlineoh,1
luke,1
late,1
idk,1
helpful,1
but,1
phillip,1
didn’t,1
partner,1
joined,1
team,4
3,1
wanted,1
could,1
hit,1
him,1
upindeed,1
with,1
jiayuan,1
nowdoes,1
anybody,1
zachs,1
studio,2
partner⁉️there,1
brief,1
thing,1
ab,1
hw,1
solutionsfirst,1
youo,1
steal,1
chair,1
now,1
dignity😿yusin,1
alisons,1
were,1
going,2
over,1
readinglmfaohop,1
valorantterriblei,1
saw,1
prof,1
ca,1
sitting,1
a4,1
emptywhich,1
youno,1
ideado,1
need,1
stay,1
breakout,2
wait,1
them,1
come,1
aroundare,1
professors,1
roomhehehprobably,1
class,1
well,1
work,1
retrospective,1
assignments,1
canvasoh,1
noooohow,1
they,1
keep,1
put,1
same,1
roomssteve,1
way,1
wanna,1
linear,1
search,1
refactoring,1
aditi,1
knowing,1
shes,1
thatll,1
answer,1
recursively,1
lmfaoactually,1
python,1
perhaps,1
hsould,1
listneshall,1
alljiangsternutsadd,1
552710076889301007httpscprewrittennetwhat,1
happened,1
good,2
ole,1
club,1
penguinthis,1
channel,1
all,1
valorant,1
these,1
dayshow,1
knifingtitphone,1
4053067198,1
snap,1
purplesqrrls09,1
ig,2
lilyaj,1
shitpost,1
lilythejiangster,1
